日付,米ドル,英ポンド,ユーロ,カナダドル,スイスフラン,スウェーデンクローネ,デンマーククローネ,ノルウェークローネ,オーストラリアドル,ニュージーランドドル,南アフリカランド,バーレーンディナール,香港ドル,インドルピー,フィリピンペソ,シンガポールドル,タイバーツ,クウェートディナール,サウジアラビアリアル,UAEディルハム,メキシコペソ,インドネシアルピア,台湾ドル
2002/4/1,133.15,189.79,116.12,83.48,79.28,12.87,15.63,15.08,71.14,58.8,11.76,353.65,17.07,2.73,2.61,72.21,3.07,434.14,35.52,36.26,14.81,1.37,3.82
2002/4/2,133.2,191.78,117.18,83.38,80.15,13,15.77,15.24,71.02,58.86,11.78,353.78,17.08,2.73,2.62,72.18,3.06,435.01,35.53,36.27,14.8,1.38,3.82
2002/4/3,133.2,191.26,116.96,83.65,80.02,12.95,15.75,15.23,71.14,58.81,11.89,353.78,17.08,2.74,2.62,72.12,3.04,436.58,35.53,36.27,14.77,1.37,3.82
2002/4/4,133.1,191.13,117.15,83.72,80.18,12.93,15.77,15.33,70.81,58.52,12.02,353.52,17.06,2.73,2.61,72.26,3.05,435.11,35.5,36.24,14.75,1.37,3.82
2002/4/5,132.3,189.74,116.32,82.96,79.47,12.87,15.65,15.22,70.33,58.36,11.83,351.39,16.96,2.71,2.6,71.85,3.04,432.21,35.29,36.03,14.66,1.37,3.8
2002/4/8,131.55,188.54,115.69,82.8,79,12.82,15.57,15.13,69.76,57.43,11.92,349.4,16.87,2.7,2.58,71.76,3.03,429.62,35.09,35.81,14.62,1.38,3.77
2002/4/9,131.55,188.31,115.05,82.45,78.46,12.69,15.48,15.08,69.5,57.21,11.79,349.4,16.87,2.7,2.58,71.67,3.02,431.17,35.09,35.83,14.59,1.39,3.78
2002/4/10,130.7,187.84,115.16,81.93,78.47,12.63,15.49,15.06,69.41,57.04,11.68,347.14,16.76,2.68,2.57,71.17,3.01,428.1,34.86,35.59,14.49,1.37,3.75
2002/4/11,131.1,188.36,115.41,82.33,78.62,12.69,15.53,15.12,69.68,57.64,11.72,348.21,16.81,2.69,2.58,71.39,3.01,428.85,34.97,35.7,14.51,1.38,3.76
2002/4/12,131.55,189.06,115.99,82.83,79.2,12.76,15.61,15.25,70.47,58.42,11.78,349.4,16.87,2.7,2.59,71.68,3.02,430.32,35.09,35.82,14.47,1.4,3.77
2002/4/15,132.2,189.84,116.38,83.27,79.38,12.83,15.65,15.28,70.5,58.19,11.85,351.13,16.95,2.71,2.6,71.94,3.04,435.3,35.26,36,14.46,1.4,3.79
2002/4/16,131.85,189.49,116.01,83.15,79.05,12.74,15.61,15.24,70.1,57.9,11.83,350.2,16.9,2.7,2.59,71.79,3.04,431.02,35.17,35.91,14.37,1.42,3.78
2002/4/17,130.95,188.55,115.59,82.81,78.74,12.63,15.56,15.16,69.94,57.83,11.67,347.81,16.79,2.68,2.57,71.5,3.02,428.64,34.93,35.66,14.3,1.4,3.75
2002/4/18,130.6,188.97,116.31,82.93,79.19,12.73,15.65,15.23,70.33,58.26,11.76,346.79,16.74,2.69,2.57,71.37,3.02,427.78,34.84,35.56,14.15,1.4,3.74
2002/4/19,130.1,188.59,115.93,82.65,78.98,12.62,15.61,15.21,70.42,58.35,11.74,345.55,16.68,2.68,2.56,71.37,3.01,425.86,34.7,35.43,14.1,1.4,3.73
2002/4/22,130.3,188.62,115.99,82.83,79.13,12.66,15.61,15.26,70.4,58.22,11.76,346.08,16.71,2.67,2.57,71.57,3.01,426.93,34.76,35.48,14.06,1.41,3.75
2002/4/23,129.9,188.43,115.4,82.65,78.6,12.55,15.54,15.18,70.38,58.29,11.87,345.02,16.65,2.66,2.55,71.67,3.01,425.62,34.65,35.37,14.07,1.42,3.74
2002/4/24,130.25,188.58,115.68,82.79,78.87,12.6,15.57,15.23,70.02,58.04,11.89,345.95,16.7,2.67,2.56,71.53,3.01,426.77,34.74,35.47,14.08,1.4,3.76
2002/4/25,129.45,187.73,115.57,82.6,78.83,12.56,15.55,15.17,70.36,58.15,11.9,343.82,16.6,2.65,2.55,71.31,2.99,425.68,34.53,35.25,13.95,1.4,3.73
2002/4/26,128.75,187.43,115.62,82.25,79.04,12.54,15.57,15.25,70.08,57.96,11.83,341.87,16.51,2.64,2.54,71.16,2.98,422.55,34.34,35.06,13.8,1.4,3.71
2002/4/30,128.35,187.08,115.93,81.98,79.15,12.56,15.6,15.31,69.28,57.45,12.18,340.9,16.46,2.63,2.54,70.93,2.97,422.2,34.24,34.95,13.71,1.39,3.71
2002/5/1,128.6,187.49,115.7,82.05,79.43,12.54,15.58,15.3,69.21,57.52,12.09,341.57,16.49,2.63,2.55,70.85,2.97,422.19,34.3,35.02,13.67,1.39,3.72
2002/5/2,127.45,187.08,115.62,81.75,79.58,12.5,15.56,15.28,68.78,57.26,12.1,338.51,16.34,2.61,2.53,70.54,2.95,418.97,34,34.71,13.54,1.38,3.68
2002/5/7,127,186.55,116.6,81.03,80.27,12.55,15.7,15.39,68.64,56.95,12.22,337.32,16.28,2.61,2.56,70.56,2.97,418.04,33.88,34.59,13.34,1.38,3.68
2002/5/8,128.2,187.71,117,81.83,80.44,12.51,15.75,15.38,69.33,57.74,12.66,340.5,16.44,2.63,2.59,70.86,2.99,421.43,34.2,34.91,13.54,1.39,3.72
2002/5/9,128.9,187.77,116.62,82.07,80.1,12.56,15.69,15.42,69.84,58.12,12.61,342.36,16.53,2.64,2.59,71.25,3,424.71,34.38,35.1,13.7,1.4,3.74
2002/5/10,128.65,187.92,117.08,82.15,80.55,12.57,15.75,15.49,69.9,58.14,12.48,341.7,16.5,2.64,2.58,71.07,3,424.17,34.32,35.03,13.59,1.4,3.73
2002/5/13,127.3,186.39,116.36,81.78,80,12.46,15.66,15.39,69.3,57.68,12.51,338.11,16.32,2.61,2.57,70.65,2.97,420.13,33.96,34.66,13.4,1.39,3.7
